company_name,description,city,state,revenue_estimate,employees,key_person_1_name,key_person_1_title,key_person_1_email,key_person_1_phone,key_person_2_name,key_person_2_title,key_person_2_email,key_person_2_phone,website,source_urls
AZPACK (Arizona Production & Packaging),"Contract beverage manufacturer specializing in soft drinks, teas, infused waters, energy drinks, juices and private-label drinks; bottling and canning plus beverage incubation facility; acquired by Refresco in 2019. Main phone: 480-449-7770",Tempe,AZ,,,Peter Reilly,Co-founder,,,,,,,https://www.azpack.com/,https://www.prnewswire.com/news-releases/refresco-acquires-azpack-in-arizona-usa-300957771.html; https://www.globenewswire.com/en/news-release/2019/11/14/1946899/0/en/Refresco-acquires-AZPACK-in-Arizona-USA.html; https://www.contractresearchmap.com/providers/arizona-production-packaging-azpack
Octopi Brewing,"Contract beverage manufacturer and co-packer founded 2015; expanded from 65,000 sq ft to over half a million sq ft; acquired by Asahi Europe & International in January 2024; US production home of Asahi Super Dry. Main phone: 608-218-5917",Waunakee,WI,,,Isaac Showaki,Founder & President,,,,,,,https://octopibrewing.com/,https://www.brewbound.com/news/asahi-to-acquire-wisconsin-based-contract-producer-octopi-brewing/; https://wedc.org/octopi-brewing-expands-operations-in-waunakee-with-wedc-support/; https://www.areadevelopment.com/newsItems/10-5-2022/octopi-brewing-waunakee-wisconsin.shtml; https://www.allbiz.com/business/octopi-brewing-608-218-5917
Waco Bottling Co.,"Co-packer established 2016; 70,000 sq ft SQF Level 2 facility for hot-fill and cold-fill bottling of beverages, energy shots and juices plus powder blending and shrink-sleeve labeling; containers from 0.5ml to 275-gallon totes",Woodway,TX,,,,,,,,,,,https://www.wacobottling.com/,https://www.wacobottling.com/; https://www.zoominfo.com/c/waco-bottling/424002939; https://www.nombase.com/companies/waco-bottling-co
Brau Brothers Brewing Co.,"Family-owned craft brewery (25+ years) offering contract brewing and co-packing; canning line supporting multiple can sizes with in-line shrink sleeving",Marshall,MN,,,Dustin Brau,Founder,,,,,,,https://braubeer.com/,https://braubeer.com/contract-brewing; https://braubeer.com/; http://jackofallbrews.blogspot.com/2016/02/brau-brothers-brewing.html
Eagle Park Brewing & Distilling,"Brewery/distillery whose co-packing division (fastest-growing segment since 2024) provides turnkey production and product development for beer, spirits, RTD cocktails and THC beverages; small-run pilots from 700 cans; acquired SoulBoxer Cocktail Co. 2026",Milwaukee,WI,,,Max Borgardt,Co-founder,,,Jake Schinker,Co-founder,,,https://www.eagleparkbrewing.com/,https://www.eagleparkbrewing.com/co-pack/; https://www.bevnet.com/pr/2026/03/30/eagle-park-brewing--distilling-acquires-soulboxer-cocktail-co; https://www.forbes.com/sites/kennygould/2020/01/17/co-founder-of-eagle-park-brewing-dishes-on-milwaukees-lager-culture/
Two Roads Brewing Company,"Craft brewery founded 2012 with one of the East Coast's largest contract brewing operations (~85,000 bbl contract production in 2017 vs 53,000 own-brand)",Stratford,CT,,,Brad Hittle,CEO & Co-founder,,,Phil Markowski,Master Brewer & Co-founder,,,https://tworoadsbrewing.com/,https://tworoadsbrewing.com/contract-brewing-program/; https://hartfordbusiness.com/article/stratford-based-two-roads-2-penn-based-brewers-partner-to-form-national-contract-brewing/; https://www.forbes.com/sites/kennygould/2019/04/11/interview-two-roads-brewery/
Sleeping Giant Brewing Company,"Dedicated contract brewery founded 2015 (no own brands); first dedicated contract brewing company west of the Mississippi; clients have included Boulder Beer, Backcountry Brewing, Dog Tag Brewing, Storm Peak and House Beer",Denver,CO,,,Matthew Osterman,Founder,,,,,,,https://sleepinggiantbrewing.com/,https://sleepinggiantbrewing.com/; https://www.brewbound.com/news/sleeping-giant-founder-optimistic-about-growth-of-contract-brewing/; https://www.westword.com/food-drink/sleeping-giant-the-largest-denver-brewery-youve-never-heard-of-is-getting-even-bigger-9402269/
F.X. Matt Brewing Company (Saranac),"Fourth-generation family brewery (est. 1888) and contract brewing/co-packing partner; produces beer, soft drinks, distilled spirits, wine, energy drinks and functional beverages",Utica,NY,,,Fred Matt,President,,,,,,,https://www.saranac.com/,https://www.saranac.com/our-story/; https://greateruticachamber.org/f-x-matt-brewery-announces-major-investments-in-brewery-creating-over-25-jobs/; https://en.wikipedia.org/wiki/Matt_Brewing_Company
Minhas Craft Brewery,"Second-oldest US brewery (Monroe, est. 1845); family-owned contract brewer and contract packager producing private, custom and control-label beers and liquors for Costco, Trader Joe's, Walgreens, Aldi and others",Monroe,WI,,,Ravinder Minhas,Owner,,,,,,,https://www.minhasbrewery.com/,https://www.minhasbrewery.com/about-us; https://en.wikipedia.org/wiki/Minhas_Craft_Brewery; https://allaboutbeer.com/minhas-craft-brewery-turns-10/
Stevens Point Brewery,"Independent brewery (est. 1857) offering contract brewing/co-packing of beer, NA beer, cider, soda, RTDs, teas and hard seltzers in cans, longneck bottles and kegs; 2025 investment in BrewVo dealcoholization system for NA contract capacity",Stevens Point,WI,,,Joe Martino,Operating Partner,,,Mike Schraufnagel,Brewmaster,,,https://www.pointbeer.com/,https://www.pointbeer.com/co-packing/; https://www.brewersassociation.org/member-news/stevens-point-brewery-makes-landmark-investment-in-non-alcoholic-future-opens-capacity-to-contract-customers/; https://www.pointbeer.com/about/
Florida Caribbean Distillers,"Established 1943; two distilleries, winery, brewery and ~200,000 sq ft bottling facility in Polk County; one of the largest contract bottlers in the Southeast (15M+ cases/yr); hot fill, HTST, carbonated and nitrogen capabilities; spirits, wine-based drinks and RTDs. Main phone: 863-956-1116",Auburndale,FL,,,,,,,,,,,https://www.floridadistillers.com/,https://www.floridadistillers.com/our-company; https://www.distillerytrail.com/suppliers/listing/florida-caribbean-distillers/; https://ibwsshow.com/en/blog/producer-profiles-67/florida-caribbean-distillers-125.htm
Bardstown Bourbon Company,"One of the largest whiskey distilleries in America (110,000+ barrels/yr, 37,000 sq ft distillery and bottling line); Collaborative/contract distilling program with custom mash bills; clients have included Castle Brands",Bardstown,KY,,,Mark Erwin,CEO,,,Steve Nally,Master Distiller,,,https://www.bardstownbourbon.com/,https://www.bardstownbourbon.com/; https://kybourbontrail.com/distillery/bardstown-bourbon-co/; https://www.thespiritsbusiness.com/2024/10/bardstown-bourbon-co-completes-expansion/; https://distiller.com/articles/bardstown-bourbon-company
MGP Ingredients,"Publicly traded distiller (founded 1941) supplying contract and bulk distilled spirits - bourbon and rye whiskeys, gins, vodkas - plus aged whiskey inventory to brand owners of all sizes; HQ Atchison KS with distilling operations incl. Lawrenceburg IN; Atchison GNS distillery closed Jan 2024",Atchison,KS,,,,,,,,,,,https://www.mgpingredients.com/,https://www.mgpingredients.com/about-mgp/our-company; https://www.distillerytrail.com/suppliers/listing/mgp-ingredients/; https://www.foodmanufacturing.com/facility/news/22867374/mgp-ingredients-to-close-kansas-distillery
Next Century Spirits,"Full-service contract distiller and bottler established 2018; whiskey, bourbon, vodka, gin, rum and tequila; custom product creation, bottling, distribution and inventory management",Raleigh,NC,,,Anthony Moniello,CEO,,,,,,,https://www.nextcenturyspirits.com/,https://www.nextcenturyspirits.com/about-us; https://www.just-drinks.com/interviews/nue-vodka-is-a-powerhouse-brand-with-untapped-potential-next-century-spirits-ceo-talks-building-a-spirit-portfolio/; https://www.comanufacturers.com/products/next-century-spirits-comanufacturer-profile
Midwest Custom Bottling,"Contract bottler/co-packer for spirits and bonded winery products; blending, storage, packaging, recipe design and ingredient sourcing; produces RumChata cream liqueur; located at N27 W23921 Paul Rd",Pewaukee,WI,,,,,,,,,,,https://www.bottlingllc.com/,https://www.bottlingllc.com/; https://www.unisco.com/importers/midwest-custom-bottling-llc; https://en.wikipedia.org/wiki/RumChata
Refresco Beverages US,"US arm of the world's largest independent beverage contract manufacturer; retailer-brand and branded contract manufacturing across 22 US facilities (~3,600 North America employees); acquired Coca-Cola and VBC Bottling facilities. Tampa HQ phone: 813-313-1800",Tampa,FL,,"~3,600 (North America, company site)",Brad Goist,CEO Refresco Beverages US / COO North America,,,,,,,https://www.refresco.com/,https://www.refresco.com/en/about-us/; https://www.prnewswire.com/news-releases/refresco-to-acquire-three-production-facilities-in-the-us-from-the-coca-cola-company-301348351.html; https://www.buzzfile.com/business/Refresco-813-313-1800; https://www.visualvisitor.com/companies/4359833/refresco_north_america
G3 Enterprises,"Gallo-family-founded packaging and logistics company; contract bottling for wine, spirits and RTD beverages incl. mobile bottling, four bottling lines, labels, closures and logistics; 4.6M sq ft across Modesto campuses",Modesto,CA,,,,,,,,,,,https://www.g3enterprises.com/,https://www.g3enterprises.com/services/bottling-services; https://wineindustryadvisor.com/2020/01/29/g3-enterprises-expands-offerings-locations/; https://manufacturing-today.com/news/g3-enterprises/
Lyons Magnus,"Founded 1852; beverage and foodservice co-manufacturer with high-acid aseptic processing; shelf-stable juices, lemonade/smoothie bases, RTD and coffeehouse beverages; plants in Fresno CA and Walton KY; acquired by Truelink Capital in 2026",Fresno,CA,"~$1B enterprise value at 2026 sale (reported ~1x sales)",,Edward Carolan,CEO,,,,,,,https://www.lyonsmagnus.com/,https://www.lyonsmagnus.com/co-manufacturing; https://thebusinessjournal.com/lyons-magnus-ownership-timeline/; https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/lyons-magnus-llc-645766-01302023; https://businessmodelanalyst.com/lyons-magnus-truelink-1-billion-sale/
Jasper Products,"Aseptic beverage co-packer (production since 2000, part of Stremicks Heritage Foods); dairy, soy, almond, oat, juice, sport/nutrition beverages, creamers and teas; ~90 truckloads shipped daily; 2.7M sq ft site incl. 370,000 sq ft manufacturing",Joplin,MO,,~800 (2025 press),,,,,,,,,https://www.jasperproducts.com/,https://www.jasperproducts.com/; https://en.edairynews.com/aseptic-giant-hits-25-years-the-future-of-shelf-stable-dairy/; https://www.heritage-foods.com/jasper/; https://joplinbusinessoutlook.com/2025/10/08/jasper-products-and-dairy-farmers-of-america-celebrate-25-year-partnership/
Steuben Foods,"Family-owned low-acid aseptic contract manufacturer; aseptic beverage processing spanning contract manufacturing, private label, food service and branded businesses",Elma,NY,"$253.1M (RocketReach estimate)","262 (RocketReach) - 700+ (company statements)",,,,,,,,,https://steubenfoods.com/,https://steubenfoods.com/; https://rocketreach.co/steuben-foods-inc-profile_b5c2bd29f42e0edf; https://wblk.com/steuben-foods-growth/
Berner Food & Beverage,"Private-label and contract manufacturer of RTD coffees, teas and dips/sauces for top retail chains; tripled RTD beverage production space in 2017",Dakota,IL,,,Steve Kneubuehl,CEO,,,,,,,https://bernerfoodandbeverage.com/,https://bernerfoodandbeverage.com/; https://www.beveragedaily.com/Article/2017/05/30/Berner-Food-Beverage-triples-production-space-for-RTD-beverages/; https://www.datanyze.com/companies/berner-food-and-beverage/13684219
Sun Orchard,"Citrus juice processor founded 1984; SQF-certified plants in Tempe AZ and Haines City FL; custom and private-label juice programs for foodservice, retail and beverage manufacturers",Tempe,AZ,,,,,,,,,,,https://sunorchard.com/,https://sunorchard.com/who-we-are/; https://sunorchard.com/manufacturing-distribution/; https://www.industrynet.com/listing/356003/sun-orchard-llc
Country Pure Foods,"Beverage manufacturer with five plants; co-manufacturing and private label for 100% juices, juice drinks, almond and oat milk; chilled extended-shelf-life specialty; owned by Blue Point Capital Partners",Akron,OH,,,Tony Muscato,CEO,,,,,,,https://www.countrypure.com/,https://www.countrypure.com/country-pure-foods-ceo-talks-beverage-trends/; https://www.foodbusinessnews.net/articles/22985-tony-muscato-named-ceo-of-country-pure-foods; https://en.wikipedia.org/wiki/Country_Pure_Foods
Unix Packaging,"Contract beverage manufacturer founded 2010; facilities in Montebello CA (125,000 sq ft) and Morganton NC; PET blow molding, high-speed carbonated glass/PET lines, water lines and boutique small-run lines; functional beverages, CSDs, waters, kombucha, teas",Montebello,CA,,,,,,,,,,,https://unixpackaging.com/,http://www.unixpackaging.com/facility.html; https://copackconnect.com/parking-spaces/unix-packaging-llc/; https://www.ncconstructionnews.com/unix-packaging-investing-19m-to-build-new-plant-in-burke-county/
Brooklyn Bottling,"Family-owned beverage manufacturer and co-packer (founded 1936); 100% juice, juice cocktails, teas, energy drinks, seltzers, sports drinks, flavored waters and soft drinks; 50+ brands manufactured/distributed",Milton,NY,,,Eric Miller,Owner (third generation),,,,,,,https://brooklynbottling.com/,https://brooklynbottling.com/; https://www.zoominfo.com/c/brooklyn-bottling-group/12012248; https://www.crunchbase.com/organization/brooklyn-bottling
Adirondack Beverages,"Founded 1967, owned by Polar Beverages; contract manufacturing of carbonated soft drinks, non-carbonated beverages and bottled water via Adirondack Bottling division; 1M+ sq ft plant in Glenville Business & Technology Park",Scotia,NY,,~400 (Wikipedia),,,,,,,,,https://www.adirondackbeverages.com/,https://www.adirondackbeverages.com/about-us/; https://en.wikipedia.org/wiki/Adirondack_Beverages
Mayer Brothers,"Family-owned since 1852; largest apple cider processor in North America; private-label and co-pack manufacturing of water, juices and other beverages; 25M+ cases/yr bottling capacity",West Seneca,NY,,,John A. Mayer,Principal (per D&B),,,,,,,https://mayerbrothers.com/,https://mayerbrothers.com/private-label-beverages-beverage-co-packaging/; https://mayerbrothers.com/about/; https://www.dnb.com/business-directory/company-profiles.mayer_bros_apple_products_inc.b7a07345711f6f1acd0e3225097d5f92.html
Union Beverage Packers,"Contract co-packer established 2004; hot-fill and water bottling on multiple lines running 24 hours/3 shifts; customers have included Coca-Cola, Snapple, Glaceau, Fuze and AriZona",Hillside,NJ,,150+ (company site),,,,,,,,,https://unionbevnj.com/,https://unionbevnj.com/; https://www.bloomberg.com/profile/company/1357831D:US; https://www.crunchbase.com/organization/union-beverage-packers
Premium Waters Inc.,"Bottled water company offering private and custom label bottled water plus home/office delivery; multiple plants nationwide; HQ at 2100 Summer St NE, Minneapolis",Minneapolis,MN,,,Joseph Shankland,President,,,,,,,https://premiumwaters.com/,https://premiumwaters.com/about-us/; https://www.zoominfo.com/p/Joseph-Shankland/2612027591; https://bottledwater.org/guide/premium-waters-inc/
Stremicks Heritage Foods,"Family-owned aseptic co-manufacturer of dairy and non-dairy beverages (milk, almond, soy, creamers); refrigerated and shelf-stable; SQF Level 3, organic and kosher certifications; also operates Jasper Products in Joplin MO",Santa Ana,CA,,,,,,,,,,,https://www.heritage-foods.com/,https://www.heritage-foods.com/capabilities/; https://www.heritage-foods.com/contact-us/; https://www.comanufacturers.com/products/stremick-s-heritage-foods-comanufacturer-profile
Iron Heart Canning Company,"Mobile canning/packaging service launched 2013 for breweries, cideries, wineries, distilleries and NA producers; 50+ canning lines across 24 locations after acquiring Michigan Mobile Canning and Toucan Mobile Canning; corporate office in Manchester NH",Manchester,NH,,,Tyler Wille,Founder & CEO,,,,,,,https://www.ironheartcanning.com/,https://www.ironheartcanning.com/contact-us/; https://www.brewbound.com/news/iron-heart-expands-acquisition-toucan-mobile-canning/; https://www.distillerytrail.com/blog/mobile-canning-company-iron-heart-expands-capacity-to-meet-expected-ready-to-drink-demand/; https://rocketreach.co/iron-heart-canning-company-profile_b5f76de8f42e8939
The Nations Brewing Co.,"Nashville brewery providing contract brewing/co-packing for beer, hard seltzer and non-alcoholic beverages; formulation, production and packaging; 400-case minimum scalable to truckload; owns Fat Bottom Brewing, Music City Beer Co. and Bravazzi brands",Nashville,TN,,,,,,,,,,,https://www.thenationsbrewing.com/,https://www.thenationsbrewing.com/contract-brewing; https://www.nombase.com/companies/the-nations-brewing-co; https://www.linkedin.com/company/the-nations-brewing-co
Full Sail Brewing Company,"Hood River brewery with 34+ years brewing/packaging experience; contract production of beer, wine, cider, seltzer and spirit-based RTDs; 200 BBL brewhouse and high-speed Krones canning/bottling; 30M+ case annual capacity",Hood River,OR,,,Pat Tiernan,CEO,,,,,,,https://fullsailbrewing.com/,https://fullsailbrewing.com/contract-brewing/; https://fullsailbrewing.com/wp-content/uploads/2022/02/CONTRACT-BREW-BROCHURE-2022-2-16.pdf; https://www.goodbeerhunting.com/sightlines/2021/9/15/new-full-sail-ceo-seeks-to-bail-out-companys-beer-sales
Surly Brewing Co. (D-9 Co-Packing),"Craft brewery with contract brewing/co-packing business across two production facilities (Minneapolis and Brooklyn Center MN); batches 60-600 BBL; canning up to 250 cans/min in 12/16/19.2 oz; 60,000 sq ft warehouse with cold storage",Minneapolis,MN,,,,,,,,,,,https://surlybrewing.com/,https://surlybrewing.com/contract-brewing/; https://beernet.com/cbd/cbd-article/surly-overhauls-production-facility-as-d-9-co-packing-biz-ramps-up/
The Brewing Projekt,"Eau Claire craft brewery (founded 2014) offering Wisconsin contract brewing and contract beverage production",Eau Claire,WI,,,William Glass,Founder & Owner,,,,,,,https://www.thebrewingprojekt.com/,https://www.thebrewingprojekt.com/contract-production; https://volumeone.org/news/2016/01/06/253237-brewing-projekt-sets-sights-on-cannery-district; https://www.kickstarter.com/projects/williameglass/the-brewing-projekt
BrewDog USA,"100,000 sq ft production brewery with 170-barrel brewhouse offering contract brewing; 1,500 bbl minimum annual commitment up to 60,000 bbl; 150,000+ bbl annual capacity; HACCP and full QA lab; US operations sold to new owner in 2025",Canal Winchester,OH,,,,,,,,,,,https://usa.brewdog.com/,https://usa.brewdog.com/pages/contract-brewing; https://ohiocraftbeer.org/breweries/brewdog-usa-inc/; https://www.aol.com/articles/brewdogs-us-operations-sold-owner-191633404.html
Genesee Brewery (FIFCO USA),"Rochester brewery (est. 1878) contract brewing for ~30 years (early partners incl. Mike's Hard Lemonade and Boston Beer); beer, FMBs, hard seltzers and hard tea; $50M packaging modernization announced 2024 to attract contract clients; FIFCO USA sold to Heineken 2025",Rochester,NY,,,,,,,,,,,https://www.fifcousa.com/,https://www.fifcousa.com/contract-manufacturing/; https://www.prnewswire.com/news-releases/fifco-usa-invests-50m-in-the-genesee-brewery-to-create-world-class-packaging-facility-and-add-capacity-302137101.html; https://rochesterbeacon.com/2026/01/29/genesees-strategy-in-a-sputtering-beer-market/
California Custom Beverage,"Contract beverage manufacturer (40+ years experience claimed); sourcing, formulation, blending, filling and packaging of coffee, tea, kombucha, sparkling water, energy and functional drinks; glass and aluminum; low MOQs, 2-8 week lead times",City of Industry,CA,,,,,,,,,,,https://calcustombev.com/,https://calcustombev.com/; https://www.keychain.com/manufacturer/kombucha-california; https://www.comanufacturers.com/products/california-custom-beverage-comanufacturer-profile
BetterBeverages (formerly Rocky Mountain Cultures),"Co-packer of organic functional beverages - kombucha, jun, tepache and other fermented RTDs in glass and cans; mountain spring water source in Gypsum CO; acquired by HTL Investments and rebranded BetterBeverages in Feb 2025",Gypsum,CO,,,,,,,,,,,,https://www.bevnet.com/pr/2025/02/21/htl-investments-acquires-rocky-mountain-cultures-rebrands-as-betterbeverages; https://kombuchabrewers.org/company_membership/rocky-mountain-cultures-co/; https://www.nosh.com/supplierfinder/rocky-mountain-cultures
