company_name,description,city,state,revenue_estimate,employees,key_person_1_name,key_person_1_title,key_person_1_email,key_person_1_phone,key_person_2_name,key_person_2_title,key_person_2_email,key_person_2_phone,website,source_urls
Ellison Bakery,"Manufacturer of cookies, bars, crunches and inclusions for CPG, foodservice and private label (est. 1945); owned by QualiTech since 2024",Fort Wayne,IN,,51-200,Stephanie Chattillion,CEO,,,,,,,https://www.ellisonbakery.com,https://www.midoceanpartners.com/news-media/2024-08-21-qualitech-acquires-ellison-bakery-an-inclusion-ingredients-and-baked-goods-manufacturer;https://www.comanufacturers.com/products/ellison-bakery-comanufacturer-profile;https://www.linkedin.com/company/ellison-bakery
Best Maid Cookie Company,"Frozen gourmet cookie manufacturer (est. 1943) doing custom-formulated and pre-portioned cookie products; now a Rise Baking Company brand",River Falls,WI,,~93 (Indeed listing base),,,,,,,,,https://www.risebakingcompany.com/brands/best-maid/,https://www.risebakingcompany.com/brands/best-maid/;https://www.linkedin.com/company/best-maid-cookie-co;https://vermillioncap.com/case-studies/best-maid-cookie-company/
More Than A Bakery,"Family-owned contract manufacturer of cookies and crackers; 200,000 sq ft plant; affiliate of Richmond Baking",Versailles,KY,,~310 planned at full build-out,Bill Quigg,President,,,,,,,https://morethanabakery.com,https://www.morethanabakery.com/cookies-and-crackers/contract-manufacturing;https://newkentuckyhome.ky.gov/Newsroom/NewsPage/02262016_More_Than_A_Bakery;https://commercialbaking.com/more-than-a-bakerys-origin-and-operational-development/
Richmond Baking Company,"Oldest family-owned cookie and cracker bakery in the US (est. 1902); contract baking and private label; sister company of More Than A Bakery",Richmond,IN,,,Bill Quigg,President,,,,,,,https://www.richmondbaking.com,https://www.gray.com/insights/more-than-a-bakery-breaks-ground-on-kentucky-manufacturing-facility/;https://commercialbaking.com/more-than-a-bakerys-origin-and-operational-development/
Dairy State Foods,"Cookie and cracker co-manufacturer (est. 1944); major foodservice oyster-cracker producer; private label and custom design",Glendale,WI,,~35,Lawrence Rabin,President,,,,,,,https://www.dairystatefoods.com,https://www.comanufacturers.com/products/dairy-state-foods-comanufacturer-profile;https://www.dairystatefoods.com/about-1;https://www.datanyze.com/companies/dairy-state-foods/26445835
CraftMark Bakery,"Large-scale private-label/contract commercial bakery: cookie dough, pre-baked cookies, muffin batters, flatbreads; 345,000 sq ft plant",Indianapolis,IN,,400+,Kurt Seagrist,CEO,,,,,,,https://www.craftmarkbakery.com,https://www.craftmarkbakery.com/channels/contract-manufacturing-bakery;https://www.comanufacturers.com/products/craftmark-bakery-comanufacturer-profile;https://www.linkedin.com/company/craftmark-bakery
Legacy Bakehouse,"Manufacturer of baked snacks, cookies and tortillas; acquired Angelic Bakehouse assets (2024) and Classic Cookie (2025); plants in Waukesha and Cudahy WI",Waukesha,WI,,,Tim Jax,CEO,,,,,,,https://legacybakehouse.com,https://theshelbyreport.com/2026/07/22/legacy-bakehouse-names-new-ceo/;https://biztimes.com/waukesha-based-legacy-bakehouse-acquires-classic-cookie/;https://legacybakehouse.com/legacy-bakehouse-acquires-classic-cookie/
Snackwerks,"Contract manufacturer of rotary-molded and wire-cut cookies, bites, bars and granola; 40,000 sq ft plant; acquired 2025 into Artisan Bakery (HC Private Investments)",Battle Creek,MI,,,Kirk Trofholz,Executive Chairman (Artisan Bakery),,,,,,,,https://www.bakingbusiness.com/articles/64068-artisan-bakery-formed-to-acquire-baked-snack-dessert-assets;https://www.businesswire.com/news/home/20250619351524/en/HC-Private-Investments-Launches-Artisan-Bakery-With-the-Acquisitions-of-Snackwerks-and-Specialty-Bakers;https://www.nosh.com/news/2025/pe-firm-acquires-snackwerks-specialty-bakers-to-form-artisan-bakery
Specialty Bakers,"125-year-old commercial bakery making in-store bakery/dessert products (eclairs, angel food cakes, whoopie pies); part of Artisan Bakery (HC Private Investments)",Marysville,PA,,,,,,,,,,,,https://www.foodbusinessnews.net/articles/28454-artisan-bakery-launches-with-baked-snack-dessert-assets;https://www.businesswire.com/news/home/20250619351524/en/HC-Private-Investments-Launches-Artisan-Bakery-With-the-Acquisitions-of-Snackwerks-and-Specialty-Bakers
Cookies United,"Private-label and contract cookie baker (Silver Lake Cookie assets); affiliate of Uncle Wally's/United Baking",Islip,NY,,~350 across two facilities (with affiliate),Luis Galeano,President & CEO,,,,,,,https://www.cookiesunited.com,https://www.cookiesunited.com/cookies-united-building-relationships-one-cookie-at-a-time/;https://www.comanufacturers.com/products/cookies-united-comanufacturer-profile;https://leadiq.com/c/cookies-united-llc/5dba4735fdf36bee53bf1183
YouBar (You Bar Inc.),"Custom nutrition-bar and functional-snack contract manufacturer (est. 2006); up to 500,000 bars/day capacity across LA-area plants",Los Angeles,CA,,,Anthony Flynn,Founder & CEO,,,,,,,https://youbars.com,https://en.wikipedia.org/wiki/You_Bar;https://youbars.com/pages/bar-manufacturing-and-co-packing;https://partnerslate.com/learningcenter/cookie-manufacturers-suppliers-united-states/
Econo-Pak,"Third-generation family contract food packager and co-manufacturer: baking mixes, granola, cereal, dry blending; SQF Level 3",Milford,PA,,800+,PJ Wiebel,CEO,,,,,,,https://www.econo-pak.com,https://www.econo-pak.com/about-us/;https://www.econo-pak.com/articles/econo-pak-through-the-generations/;https://www.linkedin.com/in/pj-wiebel-619618198/
PacMoore Products,"Privately held contract manufacturer: dry blending, extrusion, spray drying, repackaging; plants in Hammond and Mooresville IN; BRC-certified",Hammond,IN,"$126.6M (per search aggregator)",~145,,,,,,,,,https://www.pacmoore.com,https://www.pacmoore.com/;https://pitchbook.com/profiles/company/483177-88;https://www.zoominfo.com/c/pacmoore-products-inc/89786993
SnackCo of America,"Kettle/batch-cooked potato chip, tortilla chip, popcorn and pellet/extruded snack co-packer; owned by Hansen family (Sweden)",Clearfield,UT,,,,,,,,,,,https://www.snackco.com,https://www.snackco.com/;https://www.comanufacturers.com/products/snack-co-comanufacturer-profile;https://www.potatopro.com/companies/snackco-america
Bite Brands,"Private-label manufacturer/co-packer of potato chips, kettle chips, tortilla chips, extruded snacks and tortillas; 3 plants (Atlanta GA, Syracuse NY, Parkersburg WV); founded 2018",Atlanta,GA,,,Kevin Holden,Founder & CEO,,,,,,,https://www.bitebrands.com,https://www.bitebrands.com/about;https://www.bitebrands.com/capabilities;https://www.comanufacturers.com/products/bitebrands-comanufacturer-profile
Fresca Foods,"Multi-platform co-manufacturer of natural/organic shelf-stable snacks and baked goods (est. 1989); 350,000 sq ft, 18+ lines",Louisville,CO,,51-250,Brandon Viar,CEO,,,,,,,https://frescafoodsinc.com,https://frescafoodsinc.com/about;https://www.comanufacturers.com/products/fresca-foods-inc-comanufacturer-profile;https://www.zoominfo.com/c/fresca-foods-inc/344641910
Hickory Harvest Foods,"Third-generation family nut, trail mix, dried fruit and chocolate/yogurt snack manufacturer with private-label and co-pack programs (est. 1972)",Akron,OH,"$23M (2026, per search aggregator)",51-250,Darlene Swiatkowski,CEO,,,Joe Swiatkowski,President,,,https://www.hickoryharvest.com,https://www.hickoryharvest.com/about-us/our-history;https://akronrotary.org/speakers/cc700692-b1b7-4bd5-b990-8e6c85727a0f;https://www.comanufacturers.com/products/hickory-harvest-foods-comanufacturer-profile
Wixon,"Custom seasonings, spice blends and flavor technologies manufacturer (est. 1907) with contract dry-blend manufacturing",St. Francis,WI,,250+,Peter Gottsacker,President,,,,,,,https://www.wixon.com,https://www.wixon.com/about-us/history/;https://www.wixon.com/services/manufacturing/;https://foodindustryexecutive.com/2021/08/wixon-inc-expands-operations-in-st-francis/
Century Foods International,"Hormel Foods subsidiary; contract manufacturer of nutritional powders, dairy/vegetable protein blends and RTD products; 4 plants",Sparta,WI,,~450,,,,,,,,,https://www.centuryfoods.com,https://www.centuryfoods.com/;https://www.hormelfoods.com/careers/career-center/our-locations/century-foods-international/;https://www.comanufacturers.com/products/century-foods-international-comanufacturer-profile
SternMaid America,"Contract manufacturer/toll blender of powdered food, supplement and pharma products; part of Germany's Stern-Wywiol Gruppe",Aurora,IL,,,,,,,,,,,,https://www.thomasnet.com/company/sternmaid-america-llc-30843100/profile;https://www.fdbusiness.com/the-contract-manufacturer-sternmaid-america-gets-started-in-chicago/;https://www.linkedin.com/company/sternmaid-america-llc
Organic Milling,"Contract manufacturer of better-for-you cereal, granola and snacks since 1960; SQF Level 3; part of Roskam Foods since 2022",San Dimas,CA,,,Wolfgang Buehler,CEO,,,,,,,https://organicmilling.roskamfoods.com,https://organicmilling.roskamfoods.com/about-us/;https://www.foodbusinessnews.net/articles/20278-private-equity-firm-takes-stake-in-organic-granola-maker
Roskam Foods,"Contract manufacturer (est. 1923) of shelf-stable, frozen and refrigerated foods; 2M+ sq ft, 50 lines, 8 facilities; e2p-backed",Grand Rapids,MI,"$250M-$500M+ (sources conflict)","~1,800 (RocketReach/LinkedIn range 1,001-5,000)",Miguel Moreno Munera,CEO,,,,,,,https://roskamfoods.com,https://roskamfoods.com/about-us/;https://www.fox17online.com/news/local-news/grand-rapids/roskam-foods-ceo-among-top-25-most-influential-latinos-in-west-michigan;https://www.comanufacturers.com/products/roskam-foods-comanufacturer-profile
Gatherer's Granola,"Boutique granola contract manufacturer/co-packer for emerging brands with low MOQs (est. 2010)",Schenectady,NY,,,Alessandro Gerbini,Founder & CEO,,,,,,,https://www.gatherersgranola.com,https://www.gatherersgranola.com/us/contract-manufacturing;https://www.gatherersgranola.com/about;https://www.zoominfo.com/p/Alessandro-Gerbini/13407585026
Big Boss Baking Company (Granola Co-Packer),"Granola-only private label and co-packing manufacturer serving startups to major grocery retailers",High Point,NC,,,,,,,,,,,https://www.granolacopacker.com,https://www.granolacopacker.com/;https://www.granolacopacker.com/about-us
Sprinkk,"Candy R&D lab (Omaha) and flexible contract manufacturing facility (Albion NE): gummies, hard candy, caramels, taffy; founded 2019 by ex-Ferrara innovation lead",Omaha,NE,,,Tessa Porter,Founder & President,,,,,,,https://www.sprinkk.com,https://www.sprinkk.com/about;https://siliconprairienews.com/2024/07/sprinkk-launches-innovative-rd-lab-factory-to-boost-candy-startups/;https://www.confectionerynews.com/Article/2024/05/13/new-us-candy-lab-and-factory-set-to-transform-the-wonka-landscape/
Element Bars,"Custom energy/protein bar developer and manufacturer (est. 2008) supporting low-volume startup runs to high-volume production and private label",Chicago,IL,,,Jonathan Miller,Founder & CEO,,,,,,,https://www.elementbars.com,https://tracxn.com/d/companies/elementbars/__xlPDoSiG7KGu-42XREWAWldgWbwBo_C9RGZVOZDLmFY;https://www.crunchbase.com/organization/elementbars-com
Star Snacks,"Third-generation family manufacturer/distributor of branded and private-label nuts, trail mixes and dried fruits; facilities in NJ and CA",Jersey City,NJ,,,,,,,,,,,https://starsnacks.net,https://starsnacks.net/about-us/;https://www.comanufacturers.com/products/star-snack-comanufacturer-profile;https://www.industrynet.com/listing/1716743/star-snacks-llc
Darlington Snacks,"Family-owned commercial bakery making breakfast bars, crackers, cookies and fruit snacks for foodservice and contract customers; plants in Indianapolis IN and Joplin MO",Indianapolis,IN,,,,,,,,,,,https://darlingtonsnacks.com,https://darlingtonsnacks.com/about/;https://www.snackandbakery.com/articles/89634-darlington-creates-new-manufacturing-division
Coalition Foods,"Contract manufacturer and product development house for snack and nutrition bars, powders and mixes; SQF Level 3 facility near Nashville",Nashville,TN,,,,,,,,,,,https://coalitionfoods.com,https://coalitionfoods.com/;https://coalitionfoods.com/about-us/;https://pitchbook.com/profiles/company/747969-58
