company_name,coman_status,source,city,state,website,sales_usd,employees_total,ownership_type,parent_company,naics,business_description,segment_if_known,n_contacts,n_contacts_email_avail,sweep_key_person,sweep_source_urls
Best Maid Cookie Company,confirmed co-man (public sweep),sweep only,River Falls,WI,https://www.risebakingcompany.com/brands/best-maid/,,~93 (Indeed listing base),,,,Frozen gourmet cookie manufacturer (est. 1943) doing custom-formulated and pre-portioned cookie products; now a Rise Baking Company brand,snack-bakery,0,0,,https://www.risebakingcompany.com/brands/best-maid/;https://www.linkedin.com/company/best-maid-cookie-co;https://vermillioncap.com/case-studies/best-maid-cookie-company/
BetterBeverages (formerly Rocky Mountain Cultures),confirmed co-man (public sweep),sweep only,Gypsum,CO,,,,,,,"Co-packer of organic functional beverages - kombucha, jun, tepache and other fermented RTDs in glass and cans; mountain spring water source in Gypsum CO; acquired by HTL Investments and rebranded Bett",beverage,0,0,,https://www.bevnet.com/pr/2025/02/21/htl-investments-acquires-rocky-mountain-cultures-rebrands-as-betterbeverages; https://kombuchabrewers.org/company_membership/rocky-mountain-cultures-co/; https://www.nosh.com/supplierfinder/rocky-mountain-cultures
Big Boss Baking Company (Granola Co-Packer),confirmed co-man (public sweep),sweep only,High Point,NC,https://www.granolacopacker.com,,,,,,Granola-only private label and co-packing manufacturer serving startups to major grocery retailers,snack-bakery,0,0,,https://www.granolacopacker.com/;https://www.granolacopacker.com/about-us
Bite Brands,confirmed co-man (public sweep),sweep only,Atlanta,GA,https://www.bitebrands.com,,,,,,"Private-label manufacturer/co-packer of potato chips, kettle chips, tortilla chips, extruded snacks and tortillas; 3 plants (Atlanta GA, Syracuse NY, Parkersburg WV); founded 2018",snack-bakery,0,0,Kevin Holden (Founder & CEO),https://www.bitebrands.com/about;https://www.bitebrands.com/capabilities;https://www.comanufacturers.com/products/bitebrands-comanufacturer-profile
Blount Fine Foods Corp.,confirmed co-man (public sweep),hoovers+sweep,Fall River,Massachusetts,http://www.blountfinefoods.com,1.3754517E8,225,Private,Blount Fine Foods Corp.,311412,"Blount Fine Foods Corp. is primarily engaged in manufacturing frozen food specialties, not elsewhere classified, such as frozen dinners and frozen pizza.",wet-frozen-supplements,3,2,Todd Blount (President & CEO (third generation)),https://en.wikipedia.org/wiki/Blount_Fine_Foods;https://www.oceanstatemedia.org/news-and-culture/after-20-years-in-fall-river-blount-snags-3-2m-in-tax-incentives-to-return-to-rhode-island
Brau Brothers Brewing Co.,confirmed co-man (public sweep),sweep only,Marshall,MN,https://braubeer.com/,,,,,,Family-owned craft brewery (25+ years) offering contract brewing and co-packing; canning line supporting multiple can sizes with in-line shrink sleeving,beverage,0,0,Dustin Brau (Founder),https://braubeer.com/contract-brewing; https://braubeer.com/; http://jackofallbrews.blogspot.com/2016/02/brau-brothers-brewing.html
BrewDog USA,confirmed co-man (public sweep),sweep only,Canal Winchester,OH,https://usa.brewdog.com/,,,,,,"100,000 sq ft production brewery with 170-barrel brewhouse offering contract brewing; 1,500 bbl minimum annual commitment up to 60,000 bbl; 150,000+ bbl annual capacity; HACCP and full QA lab; US oper",beverage,0,0,,https://usa.brewdog.com/pages/contract-brewing; https://ohiocraftbeer.org/breweries/brewdog-usa-inc/; https://www.aol.com/articles/brewdogs-us-operations-sold-owner-191633404.html
Brooklyn Bottling,confirmed co-man (public sweep),sweep only,Milton,NY,https://brooklynbottling.com/,,,,,,"Family-owned beverage manufacturer and co-packer (founded 1936); 100% juice, juice cocktails, teas, energy drinks, seltzers, sports drinks, flavored waters and soft drinks; 50+ brands manufactured/dis",beverage,0,0,Eric Miller (Owner (third generation)),https://brooklynbottling.com/; https://www.zoominfo.com/c/brooklyn-bottling-group/12012248; https://www.crunchbase.com/organization/brooklyn-bottling
California Custom Beverage,confirmed co-man (public sweep),sweep only,City of Industry,CA,https://calcustombev.com/,,,,,,"Contract beverage manufacturer (40+ years experience claimed); sourcing, formulation, blending, filling and packaging of coffee, tea, kombucha, sparkling water, energy and functional drinks; glass and",beverage,0,0,,https://calcustombev.com/; https://www.keychain.com/manufacturer/kombucha-california; https://www.comanufacturers.com/products/california-custom-beverage-comanufacturer-profile
Calpack Foods,confirmed co-man (public sweep),sweep only,Torrance,CA,http://www.calpackfoods.com,,,,,,"Fresh food/beverage co-packer (bottling, pouching, cupping) with integrated HPP via sister company HPP Food Services",wet-frozen-supplements,0,0,Susan Ricci (CEO (also CEO of HPP Food Services)),https://www.hiperbaric.com/en/hpp-food-services/;https://www.linkedin.com/in/susan-ricci-955bb032/;http://www.calpackfoods.com/about
"Carolina Foods, LLC",confirmed co-man (public sweep),hoovers+sweep,Charlotte,North Carolina,http://www.carolinafoodsinc.com,5.379987E7,400,Private,"Carolina Foods, LLC",311812,"Carolina Foods, Llc is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",beverage,3,0,Brian Demos (President & CEO),https://carolinabeveragegroup.com/; https://www.prnewswire.com/news-releases/carolina-beverage-group-llc-appoints-brian-demos-as-its-president-and-chief-executive-officer-300745028.html; https://www.datanyze.com/companies/carolina-beverage-group/345183397
"Cedarlane Natural Foods, LLC",confirmed co-man (public sweep),hoovers+sweep,Carson,California,http://www.cedarlanefoods.com,4.4410809E7,600,Private,"Cedarlane Natural Foods, LLC",311999,"Cedarlane Natural Foods, Llc is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compou",wet-frozen-supplements,3,1,Robert Atallah (Founder & CEO),"https://voyagela.com/interview/meet-robert-atallah-cedarlane-foods-carson/;https://www.buzzfile.com/business/Cedarlane-Natural-Foods,-Inc.-310-886-7720;https://www.prnewswire.com/news-releases/planet-based-foods-announces-new-manufacturing-partner-cedarlane-301662920.html"
Century Foods International,confirmed co-man (public sweep),sweep only,Sparta,WI,https://www.centuryfoods.com,,~450,,,,"Hormel Foods subsidiary; contract manufacturer of nutritional powders, dairy/vegetable protein blends and RTD products; 4 plants",snack-bakery,0,0,,https://www.centuryfoods.com/;https://www.hormelfoods.com/careers/career-center/our-locations/century-foods-international/;https://www.comanufacturers.com/products/century-foods-international-comanufacturer-profile
"City Brewing Company, LLC",confirmed co-man (public sweep),hoovers+sweep,La Crosse,Wisconsin,http://www.citybrewery.com,1.5852467E8,400,Private,"City Brewing Company, LLC",312120,"City Brewing Company has been brewing beer in the same city since its predecessor's inception in the mid-1800s. The corner of Third and Mississippi streets in La Crosse, Wisconsin, once home to the G.",beverage,3,0,Ross Sannes (CEO),https://www.citybrewery.com/; https://en.wikipedia.org/wiki/City_Brewing_Company; https://www.wizmnews.com/2025/08/29/ownership-of-city-brewery-changing-hands/; https://prospeo.io/c/city-brewing-company-revenue
Coalition Foods,confirmed co-man (public sweep),sweep only,Nashville,TN,https://coalitionfoods.com,,,,,,"Contract manufacturer and product development house for snack and nutrition bars, powders and mixes; SQF Level 3 facility near Nashville",snack-bakery,0,0,,https://coalitionfoods.com/;https://coalitionfoods.com/about-us/;https://pitchbook.com/profiles/company/747969-58
Consolidated Mills,confirmed co-man (public sweep),sweep only,Houston,TX,https://consolidatedmills.com,,,,,,"Family-owned (Vrana family since 2003) contract packager: dry and wet blending, private-label salsas, sauces, spices and beverages; small batch to large volume",wet-frozen-supplements,0,0,Scott Vrana (President),https://consolidatedmills.com/about-us/;https://hillviews.txst.edu/issues/2017/a-taste-of-texas-state/spice-it-up.html
Cookies United,confirmed co-man (public sweep),sweep only,Islip,NY,https://www.cookiesunited.com,,~350 across two facilities (with affiliate),,,,Private-label and contract cookie baker (Silver Lake Cookie assets); affiliate of Uncle Wally's/United Baking,snack-bakery,0,0,Luis Galeano (President & CEO),https://www.cookiesunited.com/cookies-united-building-relationships-one-cookie-at-a-time/;https://www.comanufacturers.com/products/cookies-united-comanufacturer-profile;https://leadiq.com/c/cookies-united-llc/5dba4735fdf36bee53bf1183
Country Pure Foods,confirmed co-man (public sweep),sweep only,Akron,OH,https://www.countrypure.com/,,,,,,"Beverage manufacturer with five plants; co-manufacturing and private label for 100% juices, juice drinks, almond and oat milk; chilled extended-shelf-life specialty; owned by Blue Point Capital Partne",beverage,0,0,Tony Muscato (CEO),https://www.countrypure.com/country-pure-foods-ceo-talks-beverage-trends/; https://www.foodbusinessnews.net/articles/22985-tony-muscato-named-ceo-of-country-pure-foods; https://en.wikipedia.org/wiki/Country_Pure_Foods
Cpack Manufacturing (Complete Packaging & Manufacturing),confirmed co-man (public sweep),sweep only,Orem,UT,https://cpackmanufacturing.com,,,,,,"Full-service dietary supplement contract manufacturer founded 1999; FDA-registered, cGMP, USDA Organic certified; capsules, gummies, powders, softgels, liquids",wet-frozen-supplements,0,0,,https://cpackmanufacturing.com/
Craft Cannery,confirmed co-man (public sweep),sweep only,Bergen,NY,https://www.craftcannery.com,,"~10+ (grew from 3 to 10 in first six months, 2020)",,,,"Owner-operated SQF-certified co-packer (sauces, salsas, dressings; ~90 local products); no minimum order quantities; bought 2020 by Guglielmo Sauce owner; $1.5M expansion 2024",wet-frozen-supplements,0,0,Paul Guglielmo (CEO & Owner),https://www.craftcannery.com/team;https://westsidenewsny.com/features/2024-04-14/craft-cannery-breaks-ground-on-1-5-million-expansion-at-bergen-plant/;https://nextcorps.org/guglielmos-secret-ingredient-helping-entrepreneurs-thrive/
CraftMark Bakery,confirmed co-man (public sweep),sweep only,Indianapolis,IN,https://www.craftmarkbakery.com,,400+,,,,"Large-scale private-label/contract commercial bakery: cookie dough, pre-baked cookies, muffin batters, flatbreads; 345,000 sq ft plant",snack-bakery,0,0,Kurt Seagrist (CEO),https://www.craftmarkbakery.com/channels/contract-manufacturing-bakery;https://www.comanufacturers.com/products/craftmark-bakery-comanufacturer-profile;https://www.linkedin.com/company/craftmark-bakery
Creative Foodworks,confirmed co-man (public sweep),sweep only,San Antonio,TX,https://creativefw.com,,,,,,"Independent family-founded (1987) co-packer of shelf-stable sauces, salsas, marinades and dressings; private-label manufacturing and custom formulation",wet-frozen-supplements,0,0,Dede Garcia (Owner),https://creativefw.com/about;https://www.foodproduction.us/company-creative-foodworks-inc-in-san-antonio-tx-19947
Crystal Creamery,confirmed co-man (public sweep),sweep only,Modesto,CA,https://crystalcreamery.com,,850+,,,,"Foster family-owned dairy processor (roots to 1901); bulk, private label and co-packing: milk, cultured dairy, cottage cheese, sour cream, ice cream; two processing plants",wet-frozen-supplements,0,0,Dennis Roberts (President & CEO),https://crystalcreamery.com/about-us/;https://en.wikipedia.org/wiki/Crystal_Creamery;https://www.dairyfoods.com/articles/91711-crystal-creamerys-branding-strategy-is-crystal-clear
Dairy State Foods,confirmed co-man (public sweep),sweep only,Glendale,WI,https://www.dairystatefoods.com,,~35,,,,Cookie and cracker co-manufacturer (est. 1944); major foodservice oyster-cracker producer; private label and custom design,snack-bakery,0,0,Lawrence Rabin (President),https://www.comanufacturers.com/products/dairy-state-foods-comanufacturer-profile;https://www.dairystatefoods.com/about-1;https://www.datanyze.com/companies/dairy-state-foods/26445835
Darlington Snacks,confirmed co-man (public sweep),sweep only,Indianapolis,IN,https://darlingtonsnacks.com,,,,,,"Family-owned commercial bakery making breakfast bars, crackers, cookies and fruit snacks for foodservice and contract customers; plants in Indianapolis IN and Joplin MO",snack-bakery,0,0,,https://darlingtonsnacks.com/about/;https://www.snackandbakery.com/articles/89634-darlington-creates-new-manufacturing-division
Dillman Farm,confirmed co-man (public sweep),sweep only,Bloomington,IN,https://dillmanfarm.com,,,,,,"Family-owned since 1970; private-label jams, jellies, preserves, fruit butters, mustards, dressings and BBQ sauces with low minimums; kosher-certified facility",wet-frozen-supplements,0,0,,https://dillmanfarm.com/pages/private-label-jams-jellies-preserves;https://dillmanfarm.com/pages/private-labeling
Don's Prepared Foods,confirmed co-man (public sweep),sweep only,Schwenksville,PA,https://donspreparedfoods.com,$25.7M (RocketReach est. 2025),,,,,"Family-operated (founded 1970 by Donald Skloff) refrigerated deli salads, cream cheese spreads, dips and entrees; 55,000 sq ft plant; private-label development for supermarkets and foodservice",wet-frozen-supplements,0,0,Victor Skloff (CEO & President),https://donspreparedfoods.com/;https://copackconnect.com/parking-spaces/dons-prepared-foods/;https://rocketreach.co/dons-prepared-foods-profile_b58b6f74f6788365
"DrinkPAK, LLC",confirmed co-man (public sweep),hoovers+sweep,Santa Clarita,California,http://www.drinkpak.com,7.4E7,600,Private,"DrinkPAK, LLC",312111,"Drinkpak, Llc is primarily engaged in manufacturing soft drinks and carbonated waters.",beverage,3,0,Nate Patena (CEO & Co-founder),https://www.drinkpak.com/aboutus; https://theorg.com/org/drinkpak; https://www.scvedc.org/blog/drinkpak-continues-santa-clarita-expansion-with-new-172843-sf-facility
Dutch Treat Foods,confirmed co-man (public sweep),sweep only,Zeeland,MI,https://www.dutchtreatfoods.com,,~14 (ZoomInfo),,,,"Second-generation family-owned (founded 1985) fresh food manufacturer: potato/pasta salads, dips, hummus, salsa, sides for Midwest customers",wet-frozen-supplements,0,0,Scott Brookens (President),https://www.dutchtreatfoods.com/;https://www.zoominfo.com/c/dutch-treat-foods/348529149;https://www.linkedin.com/in/scottbrookens/
Eagle Park Brewing & Distilling,confirmed co-man (public sweep),sweep only,Milwaukee,WI,https://www.eagleparkbrewing.com/,,,,,,"Brewery/distillery whose co-packing division (fastest-growing segment since 2024) provides turnkey production and product development for beer, spirits, RTD cocktails and THC beverages; small-run pilo",beverage,0,0,Max Borgardt (Co-founder),https://www.eagleparkbrewing.com/co-pack/; https://www.bevnet.com/pr/2026/03/30/eagle-park-brewing--distilling-acquires-soulboxer-cocktail-co; https://www.forbes.com/sites/kennygould/2020/01/17/co-founder-of-eagle-park-brewing-dishes-on-milwaukees-lager-culture/
Econo-Pak,confirmed co-man (public sweep),sweep only,Milford,PA,https://www.econo-pak.com,,800+,,,,"Third-generation family contract food packager and co-manufacturer: baking mixes, granola, cereal, dry blending; SQF Level 3",snack-bakery,0,0,PJ Wiebel (CEO),https://www.econo-pak.com/about-us/;https://www.econo-pak.com/articles/econo-pak-through-the-generations/;https://www.linkedin.com/in/pj-wiebel-619618198/
El Pinto Foods (El Pinto Co-Packing),confirmed co-man (public sweep),sweep only,Albuquerque,NM,https://elpintocopacking.com,,,,,,"Family-owned New Mexico salsa/chile sauce manufacturer and co-packer attached to the El Pinto restaurant (est. 1962); 35,000 sq ft plant, capacity 20M jars/yr; SQF certified hot-fill",wet-frozen-supplements,0,0,Jim Thomas (Co-owner),https://elpintocopacking.com/pages/about-us;https://www.tripadvisor.com/Restaurant_Review-g60933-d386995-Reviews-El_Pinto-Albuquerque_New_Mexico.html
Element Bars,confirmed co-man (public sweep),sweep only,Chicago,IL,https://www.elementbars.com,,,,,,Custom energy/protein bar developer and manufacturer (est. 2008) supporting low-volume startup runs to high-volume production and private label,snack-bakery,0,0,Jonathan Miller (Founder & CEO),https://tracxn.com/d/companies/elementbars/__xlPDoSiG7KGu-42XREWAWldgWbwBo_C9RGZVOZDLmFY;https://www.crunchbase.com/organization/elementbars-com
"Ellison Bakery, LLC",confirmed co-man (public sweep),hoovers+sweep,Fort Wayne,Indiana,http://www.ebakery.com,2.5246843E7,150,Private,"Quali Tech, Inc.",311821,"Ellison Bakery, Llc is primarily engaged in manufacturing fresh cookies, crackers, pretzels, and similar ""dry"" bakery products.",snack-bakery,1,0,Stephanie Chattillion (CEO),https://www.midoceanpartners.com/news-media/2024-08-21-qualitech-acquires-ellison-bakery-an-inclusion-ingredients-and-baked-goods-manufacturer;https://www.comanufacturers.com/products/ellison-bakery-comanufacturer-profile;https://www.linkedin.com/company/ellison-bakery
F.X. Matt Brewing Company (Saranac),confirmed co-man (public sweep),sweep only,Utica,NY,https://www.saranac.com/,,,,,,"Fourth-generation family brewery (est. 1888) and contract brewing/co-packing partner; produces beer, soft drinks, distilled spirits, wine, energy drinks and functional beverages",beverage,0,0,Fred Matt (President),https://www.saranac.com/our-story/; https://greateruticachamber.org/f-x-matt-brewery-announces-major-investments-in-brewery-creating-over-25-jobs/; https://en.wikipedia.org/wiki/Matt_Brewing_Company
Flagstone Foods,confirmed co-man (public sweep),sweep only,St. Paul,MN,https://flagstonefoods.com,$100M-$1B (sources conflict),370-800 (sources conflict),,,,Private-label healthy-snacks manufacturer; #1 in trail mix and dried fruit; plants in Minneapolis MN and North Carolina; owns Emerald Nuts,snack-bakery,0,0,Harry Overly (CEO),https://flagstonefoods.com/;https://www.owler.com/company/flagstonefoods;https://www.konaequity.com/company/flagstone-foods-4393669769/
Florida Caribbean Distillers,confirmed co-man (public sweep),sweep only,Auburndale,FL,https://www.floridadistillers.com/,,,,,,"Established 1943; two distilleries, winery, brewery and ~200,000 sq ft bottling facility in Polk County; one of the largest contract bottlers in the Southeast (15M+ cases/yr); hot fill, HTST, carbonat",beverage,0,0,,https://www.floridadistillers.com/our-company; https://www.distillerytrail.com/suppliers/listing/florida-caribbean-distillers/; https://ibwsshow.com/en/blog/producer-profiles-67/florida-caribbean-distillers-125.htm
"Fresca Foods, Inc.",confirmed co-man (public sweep),hoovers+sweep,Louisville,Colorado,http://www.frescafoodsinc.com,5.3636196E7,250,Private,"Fresca Foods, Inc.",311999,"Fresca Foods, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; peanu",snack-bakery,1,0,Brandon Viar (CEO),https://frescafoodsinc.com/about;https://www.comanufacturers.com/products/fresca-foods-inc-comanufacturer-profile;https://www.zoominfo.com/c/fresca-foods-inc/344641910
Full Sail Brewing Company,confirmed co-man (public sweep),sweep only,Hood River,OR,https://fullsailbrewing.com/,,,,,,"Hood River brewery with 34+ years brewing/packaging experience; contract production of beer, wine, cider, seltzer and spirit-based RTDs; 200 BBL brewhouse and high-speed Krones canning/bottling; 30M+ ",beverage,0,0,Pat Tiernan (CEO),https://fullsailbrewing.com/contract-brewing/; https://fullsailbrewing.com/wp-content/uploads/2022/02/CONTRACT-BREW-BROCHURE-2022-2-16.pdf; https://www.goodbeerhunting.com/sightlines/2021/9/15/new-full-sail-ceo-seeks-to-bail-out-companys-beer-sales
G3 Enterprises,confirmed co-man (public sweep),sweep only,Modesto,CA,https://www.g3enterprises.com/,,,,,,"Gallo-family-founded packaging and logistics company; contract bottling for wine, spirits and RTD beverages incl. mobile bottling, four bottling lines, labels, closures and logistics; 4.6M sq ft acros",beverage,0,0,,https://www.g3enterprises.com/services/bottling-services; https://wineindustryadvisor.com/2020/01/29/g3-enterprises-expands-offerings-locations/; https://manufacturing-today.com/news/g3-enterprises/
GEORGIA NUT COMPANY,confirmed co-man (public sweep),hoovers+sweep,Skokie,Illinois,http://www.georgianutcorp.com,1.014127E8,1027,Private,GEORGIA NUT COMPANY,311340,"Georgia Nut Company is primarily engaged in manufacturing candy, including chocolate candy, other confections, and related products.",snack-bakery,1,0,John Drehobl (President & CEO),https://georgianutcorp.com/about-us;https://georgianutcorp.com/business-solutions/contract-manufacturing;https://leadiq.com/c/georgia-nut-company/5a1d89b224000024006309c5
GMB Specialty Foods,confirmed co-man (public sweep),sweep only,San Juan Capistrano,CA,https://www.gmbfoods.com,,~4-5,,,,"Small specialty-food co-packer/manufacturer (flavored olive oils, BBQ sauces, salsas); in specialty foods since 1973; listed in Specialty Food Co-Packers directory",wet-frozen-supplements,0,0,Greg Bloom (Founder & CEO),https://www.gmbfoods.com/;https://www.zoominfo.com/c/gmb-specialty-foods-llc/356780261;https://www.linkedin.com/in/greg-m-bloom-75747314/
Gatherer's Granola,confirmed co-man (public sweep),sweep only,Schenectady,NY,https://www.gatherersgranola.com,,,,,,Boutique granola contract manufacturer/co-packer for emerging brands with low MOQs (est. 2010),snack-bakery,0,0,Alessandro Gerbini (Founder & CEO),https://www.gatherersgranola.com/us/contract-manufacturing;https://www.gatherersgranola.com/about;https://www.zoominfo.com/p/Alessandro-Gerbini/13407585026
Genesee Brewery (FIFCO USA),confirmed co-man (public sweep),sweep only,Rochester,NY,https://www.fifcousa.com/,,,,,,"Rochester brewery (est. 1878) contract brewing for ~30 years (early partners incl. Mike's Hard Lemonade and Boston Beer); beer, FMBs, hard seltzers and hard tea; $50M packaging modernization announced",beverage,0,0,,https://www.fifcousa.com/contract-manufacturing/; https://www.prnewswire.com/news-releases/fifco-usa-invests-50m-in-the-genesee-brewery-to-create-world-class-packaging-facility-and-add-capacity-302137101.html; https://rochesterbeacon.com/2026/01/29/genesees-strategy-in-a-sputtering-beer-market/
Gilster-Mary Lee Corporation,confirmed co-man (public sweep),hoovers+sweep,Chester,Illinois,http://www.gilstermarylee.com,5.5303625E8,4200,Private,Mary Lee Packaging Corporation,311230,"Gilster-Mary Lee is a leading private-label food manufacturer in the US. It makes approximately 8,000 products in about 500 private labels, including breakfast cereal, cake, baking mixes, cocoa and ot",snack-bakery,3,3,,https://growjo.com/company/Gilster-Mary_Lee_Corporation;https://www.zippia.com/gilster-mary-lee-careers-24667/;https://www.dnb.com/business-directory/company-profiles.gilster-mary_lee_corporation.b252cfd74ad1ef50b6080f2cbb0a0e84.html
Gold Star Chili Manufacturing (GSR Brands),confirmed co-man (public sweep),sweep only,Cincinnati,OH,https://www.goldstarchili.com,,,,,,"Kettle-cook co-manufacturer (chili, soups, stews, meat fillings, sauces, gravies) run by GSR Brands, the family-rooted operator of Gold Star Chili; small-batch hot-fill",wet-frozen-supplements,0,0,Roger David (President & CEO (GSR Brands)),https://franchise.goldstarchili.com/gold-star-franchise-press/gsr-brands-in-foodservice-equipment-supplies-magazine/;https://en.wikipedia.org/wiki/Gold_Star_Chili
"Golden Boy Foods USA, Inc.",confirmed co-man (public sweep),hoovers+sweep,Fenton,Missouri,http://www.8ave.com,3.0680788E7,100,Private,"Post Holdings, Inc.",311999,"Golden Boy Foods Usa, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compound",snack-bakery,3,2,Jim Dwyer (President & CEO),https://www.startribune.com/post-acquires-ronzoni-8th-avenue-pasta-granola-nut-butter-private-label-store-brand-880/601366695;https://www.foodbusinessnews.net/articles/28403-post-holdings-takes-full-control-of-8th-avenue;https://www.postconsumerbrands.com/brands/8th-avenue-food-provisions/
