rank,score,company_name,coman_status,segment,city,state,website,sales_usd,employees_total,ownership_type,parent_company,naics,business_description,best_contact_from_hoovers,n_contacts,n_with_email,key_person_public,key_person_2_public,source_urls,rationale,outreach_status,mergent_email,mergent_phone,notes
11,7,"Bread Alone, Inc.",unclassified food/bev mfr,,Lake Katrine,New York,http://www.breadalone.com,2.1290178E7,100,Private,"Bread Alone, Inc.",445291,"Bread Alone, Inc. is primarily engaged in the retail sale of bakery products. The products may be purchased from others or made on the premises.",Sharon BURNSLEADER — Chief Operating Officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
12,7,"CABOT CREAMERY COOPERATIVE, INC.",unclassified food/bev mfr,,Waitsfield,Vermont,http://www.cabotcreamery.com,3.1664392E7,300,Private,"Agri-mark, Inc.",311513,"Cabot Creamery Cooperative, Inc. is primarily engaged in manufacturing natural cheese (except cottage cheese), processed cheese, cheese foods, cheese spreads, and cheese analogs (imitations and substi",Mark Hackett — Principal,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
13,7,"CLINTON'S DITCH CO-OPERATIVE COMPANY, INC.",unclassified food/bev mfr,,Cicero,New York,http://www.clintonsditch.com,4.3568977E7,155,Private,,312111,"Clinton's Ditch Co-Operative Company, Inc. is primarily engaged in manufacturing soft drinks and carbonated waters.",Jonelle BaskinKelley — Chief Financial Officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
14,7,"Cafe Spice, LLC",unclassified food/bev mfr,,New Windsor,New York,http://www.cafespice.com,5.3572987E7,200,Private,"Cafe Spice, LLC",311991,"Cafe Spice, Llc is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; peanut b",Sameer Malhotra — Chief Executive Officer,3,3,,,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
15,7,"Calise & Sons Bakery, LLC",unclassified food/bev mfr,,Lincoln,Rhode Island,http://www.calisebakery.com,2.8339127E7,185,Private,"Calise & Sons Bakery, LLC",311812,"Calise & Sons Bakery, Llc is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",Michael Calise — President,3,3,,,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
16,7,"Caribbean Foods Delight, Inc.",unclassified food/bev mfr,,Tappan,New York,http://www.cfdnyinc.com,2.3692505E7,80,Private,,311612,"Caribbean Foods Delight, Inc. is primarily engaged in manufacturing sausages, cured meats, smoked meats, canned meats, frozen meats, and other prepared meats and meat specialties, from purchased carca",Sabrina Simone — chief operating officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
17,7,Catania-Spagna Corporation,unclassified food/bev mfr,,Ayer,Massachusetts,http://www.cataniaoils.com,9.473082E7,270,Private,Catania-Spagna Corporation,311225,"Catania-Spagna Corporation is primarily engaged in manufacturing shortening, table oils, margarine, and other edible fats and oils, not elsewhere classified.",Joseph Basile — President,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
18,7,"Catelli Bros., Inc.",unclassified food/bev mfr,,Camden,New Jersey,http://www.catellibrothers.com,3.4348099E7,250,Private,"Catelli Bros., Inc.",311611,"Catelli Bros., Inc. is primarily engaged in the slaughtering, for their own account or on a contract basis for the trade, of cattle, hogs, sheep, lambs, and calves for meat to be sold or to be used on",John Hamberger — Chief Financial Officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
19,7,"Ce De Candy, Inc.",unclassified food/bev mfr,,Union,New Jersey,http://www.smarties.com,2.3491222E7,240,Private,"Ce De Candy, Inc.",311340,"Ce De Candy, Inc. is primarily engaged in manufacturing candy, including chocolate candy, other confections, and related products.",Jonathan Dee — President,3,1,,,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
20,7,"Colonna Brothers, Inc.",unclassified food/bev mfr,,North Bergen,New Jersey,http://www.colonnabrothers.com,2.4360674E7,120,Private,"Colonna Brothers, Inc.",311513,"Colonna Brothers, Inc. is primarily engaged in manufacturing natural cheese (except cottage cheese), processed cheese, cheese foods, cheese spreads, and cheese analogs (imitations and substitutes). Th",Dylan Tighe — Chief Operating Officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
21,7,"Concord Foods, LLC",unclassified food/bev mfr,,Brockton,Massachusetts,http://www.concordfoods.com,5.0183792E7,218,Private,Sugar Foods LLC,311999,"Concord Foods, Llc is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; peanu",James Fanchin — Vice President Sales,3,1,,,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
22,7,"Costanzo's Bakery, LLC",unclassified food/bev mfr,,Buffalo,New York,http://www.costanzosbakery.com,2.4212076E7,130,Private,,311812,"Costanzo's Bakery, Llc is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",Robert Pavone — Chief Financial Officer,3,3,,,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
23,7,"Cumberland Dairy, LLC",unclassified food/bev mfr,,Rosenhayn,New Jersey,http://www.cumberlanddairy.com,5.6130589E7,110,Private,"Dairy Farmers of America, Inc.",311511,"Cumberland Dairy, Llc is primarily engaged in processing (e.g., pasteurizing, homogenizing, vitaminizing, bottling) fluid milk and cream, and related products, including cottage cheese, yogurt (except",David Catalana — Vice President,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
24,7,"DIAGEO AMERICAS SUPPLY, INC.",unclassified food/bev mfr,,Norwalk,Connecticut,,4.1422607E7,111,Private,DIAGEO PLC,312130,"Diageo Americas Supply, Inc. is primarily engaged in manufacturing wines, brandy, and brandy spirits. This industry also includes bonded wine cellars which are engaged in blending wines.",Martin Brodbeck — Senior Vice President and Chief Technology Officer,3,3,,,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
25,7,DILUIGI'S INC.,unclassified food/bev mfr,,Rowley,Massachusetts,http://www.diluigifoods.com,2.1071938E7,100,Private,,311612,"Diluigi's Inc. is primarily engaged in manufacturing sausages, cured meats, smoked meats, canned meats, frozen meats, and other prepared meats and meat specialties, from purchased carcasses and other ",Louis Diluigi — President,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
26,7,Deep Foods Inc.,unclassified food/bev mfr,,Union,New Jersey,http://www.deepfoods.com,5.3976536E7,150,Private,Deep Foods Inc.,311412,"Deep Foods incorporates exotic flavors from the Far East into its recipes. The company manufactures and markets a range of dry, fresh, and frozen Indian food products, as well as Thai and Chinese entr",Arvind Amin — President,3,1,,,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
27,7,"Deiorio Foods, Inc.",unclassified food/bev mfr,,Utica,New York,http://www.deiorios.com,3.3055462E7,440,Private,"Encore Consumer Capital, LLC",311412,"Deiorio Foods, Inc. is primarily engaged in manufacturing frozen food specialties, not elsewhere classified, such as frozen dinners and frozen pizza.",John Lauchert — Chief Financial Officer,3,3,,,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
28,7,Dr. Praeger's Sensible Foods LLC,unclassified food/bev mfr,,Saddle Brook,New Jersey,http://www.drpraegers.com,1.0E8,245,Private,Dr. Praeger's Sensible Foods LLC,311412,"Dr. Praeger's Sensible Foods Llc is primarily engaged in manufacturing frozen food specialties, not elsewhere classified, such as frozen dinners and frozen pizza.",Anita Gogia — Chief Financial Officer,3,3,,,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
29,7,"Elan Chemical Co., Inc.",unclassified food/bev mfr,,Newark,New Jersey,http://www.elan-chemical.com,2.3532764E7,68,Private,"Elan Chemical Co., Inc.",311942,"Elan Chemical Co., Inc. is primarily engaged in manufacturing flavoring extracts, syrups, powders, and related products, not elsewhere classified, for soda fountain use or for the manufacture of soft ",Louis Shragher — Chief Financial Officer,3,1,,,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
30,7,"Flavor & Fragrance Specialties, Inc.",unclassified food/bev mfr,,Mahwah,New Jersey,http://www.ffs.com,4.729845E7,100,Private,"Flavor & Fragrance Specialties, Inc.",311942,"Flavor & Fragrance Specialties, Inc. is primarily engaged in manufacturing flavoring extracts, syrups, powders, and related products, not elsewhere classified, for soda fountain use or for the manufac",Michael Bloom — President,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
31,7,Food Sciences Corp.,unclassified food/bev mfr,,Mount Laurel,New Jersey,http://www.foodsciences.com,3.9364918E7,330,Private,Food Sciences Corp.,311514,"Food Sciences Corp. is primarily engaged in manufacturing dry, condensed, and evaporated dairy products. This also includes manufacturing mixes for the preparation of frozen ice cream and ice milk and",Michael Sobers — Vice President of Operations,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
32,7,"Foodlink, Inc.",unclassified food/bev mfr,,Rochester,New York,http://www.foodlinkny.org,7.2318588E7,110,Nonprofit,,311991,"Foodlink, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; peanut bu",Julia Tedesco — Chief Executive Officer,3,1,,,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
33,7,Go Africa Global LLC,unclassified food/bev mfr,,New York,New York,http://www.goafricaglobal.com,2.2707634E8,220,Private,GO AFRICA CÔTE D’IVOIRE,311920,"Go Africa Global Llc is primarily engaged in roasting coffee, and in manufacturing coffee concentrates and extracts in powdered, liquid, or frozen form, including freeze-dried.",Samuel Jones — President,3,3,,,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
34,7,"Golden Platter Foods, Inc.",unclassified food/bev mfr,,Newark,New Jersey,http://www.goldenplatter.com,2.5057978E7,240,Private,,311615,"Golden Platter Foods, Inc. is primarily engaged in slaughtering, dressing, packing, freezing, and canning poultry, rabbits, and other small game, or in manufacturing products from such meats, for thei",Scott Bennett — Chief Executive Officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
35,7,"Gourmet Boutique, L.L.C.",unclassified food/bev mfr,,Jamaica,New York,http://www.gourmetboutique.com,4.4151726E7,405,Private,"Gourmet Boutique, L.L.C.",311999,"Gourmet Boutique, L.L.C. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds;",Susan Santos — President,3,3,,,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
36,7,"Hans Kissle Company, LLC",unclassified food/bev mfr,,Haverhill,Massachusetts,http://www.hanskissle.com,6.2205402E7,140,Private,"MITSUI & CO., LTD.",311991,"Hans Kissle Company, Llc is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds;",John Kennington — Vice President Of Sales,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
37,7,Harbar LLC,unclassified food/bev mfr,,Canton,Massachusetts,http://www.harbar.com,2.6306654E7,174,Private,,445291,Harbar Llc is primarily engaged in the retail sale of bakery products. The products may be purchased from others or made on the premises.,Ezequiel Cheque Montemayor — Chief Executive Officer,3,1,,,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
38,7,Jimmy's Gourmet Bakery LLC,unclassified food/bev mfr,,Clifton,New Jersey,http://www.jimmyscookies.com,9.5512901E7,130,Partnership,Jimmy's Gourmet Bakery LLC,311821,"Jimmy's Gourmet Bakery Llc is primarily engaged in manufacturing fresh cookies, crackers, pretzels, and similar ""dry"" bakery products.",Deborah Kinzley — Chief Financial Officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
39,7,Joseph's Gourmet Pasta Company,unclassified food/bev mfr,,Haverhill,Massachusetts,http://www.josephsgourmetpasta.com,3.147077E7,300,Private,"Turri's Italian Foods, Inc.",311999,"Joseph's Gourmet Pasta Company is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening comp",Casey Rennick — Vice President Of Finance,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
40,7,"Kozy Shack Enterprises, LLC",unclassified food/bev mfr,,Hicksville,New York,http://www.kozyshack.com,2.7315475E7,450,Private,"Land O'Lakes, Inc.",311999,"The proof is in the pudding at Kozy Shack Enterprises.The company makesrefrigerated puddings, soldunder the Kozy Shack brand at groceries in the US and Canada, and a limited number of stores abroad.Be",Robert Striano — Principal,3,1,,,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
41,7,Mafco Worldwide Corporation,unclassified food/bev mfr,,Mount Laurel,New Jersey,http://www.mafco.com,2.1912746E7,230,Private,Flavors Holdings Inc.,311340,"Mafco Worldwide Corporation is primarily engaged in manufacturing candy, including chocolate candy, other confections, and related products.",Lee Collison — Senior Vice President Chief Supply Chain Officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
42,7,Magic Spoon Inc.,unclassified food/bev mfr,,New York,New York,http://www.magicspoon.com,8.3966232E7,55,Private,,311230,"Magic Spoon Inc. is primarily engaged in manufacturing cereal breakfast foods and related preparations, except breakfast bars.",Gregory Sewitz — Chief Executive Officer,3,3,,,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
43,7,Major Products Co. Inc.,unclassified food/bev mfr,,Little Ferry,New Jersey,http://www.majorproducts.com,3.7838875E7,120,Private,Major Products Co. Inc.,311423,"Major Products Co. Inc. is primarily engaged in sun drying or artificially dehydrating fruits and vegetables, or in manufacturing packaged soup mixes from dehydrated ingredients.",Valerie Leimer — Chief Operating Officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
44,7,"Mass. Bay Brewing Company, Inc.",unclassified food/bev mfr,,Boston,Massachusetts,http://www.harpoonbrewery.com,4.9919357E7,169,Private,"Mass. Bay Brewing Company, Inc.",312120,"Mass. Bay Brewing Company, Inc. is primarily engaged in manufacturing malt beverages.",Daniel Kenary — Chief Executive Officer,3,1,,,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
45,7,Melville Candy Corporation,unclassified food/bev mfr,,Randolph,Massachusetts,http://www.melvillecandy.com,2.5103056E7,117,Private,,311340,"Melville Candy Corporation is primarily engaged in manufacturing candy, including chocolate candy, other confections, and related products.",Joseph Melville — Owner And Director,3,1,,,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
46,7,"N.V.E., Inc.",unclassified food/bev mfr,,Andover,New Jersey,http://www.nveusa.com,2.650106E7,220,Private,,312111,"N.V.E., Inc. is primarily engaged in manufacturing soft drinks and carbonated waters.",Art Prindle — Vice President Of Sales,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
47,7,New England Partnership Inc.,unclassified food/bev mfr,,Norwood,Massachusetts,http://www.newenglandcoffee.com,2.3623964E7,200,Private,Reily Foods Company,311920,"New England Partnership Inc. is primarily engaged in roasting coffee, and in manufacturing coffee concentrates and extracts in powdered, liquid, or frozen form, including freeze-dried.",James Dostou — Principal,3,1,,,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
48,7,Ngp Management LLC,unclassified food/bev mfr,,Haverhill,Massachusetts,http://www.ngpmanagement.com,2.2361122E7,1600,Private,,445291,Ngp Management Llc is primarily engaged in the retail sale of bakery products. The products may be purchased from others or made on the premises.,Constantine Scrivanos — President,3,3,,,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
49,7,Nitta Casings Inc.,unclassified food/bev mfr,,Bridgewater,New Jersey,http://www.nittacasings.com,2.3603781E7,165,Private,VISCOFAN SA,311612,"Nitta Casings Inc. is primarily engaged in manufacturing sausages, cured meats, smoked meats, canned meats, frozen meats, and other prepared meats and meat specialties, from purchased carcasses and ot",BRUCE Zacharias — Finance Vice President,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
50,7,"Ocean Spray International Services, Inc.",unclassified food/bev mfr,,Lakeville,Massachusetts,http://www.oceanspraymocktails.com,2.4695282E7,400,Private,"Ocean Spray Cranberries, Inc.",311423,"Ocean Spray International Services, Inc. is primarily engaged in sun drying or artificially dehydrating fruits and vegetables, or in manufacturing packaged soup mixes from dehydrated ingredients.",Michael Mallozzi — Principal Fsqa Scientist Bevnet Lead Sanitation And Pest Control,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
51,7,Paulaur Corporation,unclassified food/bev mfr,,Cranbury,New Jersey,http://www.paulaur.com,2.2468815E7,100,Private,,311999,"Paulaur Corporation is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; pean",Melany Shimp — Chief Operating Officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
52,7,"Pepsi-Cola Bottling Company of New York, Inc.",unclassified food/bev mfr,,College Point,New York,http://www.pepsico.com,4.7794365E7,1300,Private,"Pepsi-Cola Bottling Company of New York, Inc.",312111,"Pepsi-Cola Bottling Company of New York (PCBCNY) helps quench the thirst of those in the Big Apple. The company bottles and supplies mostly PepsiCo products, including soft drinks and non-carbonated b",Harold Honickman — Principal,3,1,,,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
53,7,"Pepsi-Cola Newburgh Bottling Co., Inc.",unclassified food/bev mfr,,Newburgh,New York,http://www.pepsicolaofthehudsonvalley.com,2.3390408E7,150,Private,,312111,"Pepsi-Cola Newburgh Bottling Co., Inc. is primarily engaged in manufacturing soft drinks and carbonated waters.",Tim Tenney — President Ceo,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
54,7,"Pepsi-Cola and National Brand Beverages, Ltd.",unclassified food/bev mfr,,Pennsauken,New Jersey,http://www.pepsi-nj.com,4.4920395E7,425,Private,"Pepsi-Cola and National Brand Beverages, Ltd.",312111,"Pepsi-Cola And National Brand Beverages, Ltd. is primarily engaged in manufacturing soft drinks and carbonated waters.",Walter Wilkinson — Chief Financial Officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
55,7,"Perry's Ice Cream Company, Inc.",unclassified food/bev mfr,,Akron,New York,http://www.perrysicecream.com,3.544302E7,300,Private,"Perry's Ice Cream Company, Inc.",311520,"Perry's Ice Cream Company, Inc. is primarily engaged in manufacturing ice cream and other frozen desserts.",Robert Denning — President,3,3,,,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
56,7,"Piantedosi Baking Co., Inc.",unclassified food/bev mfr,,Malden,Massachusetts,http://www.piantedosi.com,2.8946396E7,240,Private,"Piantedosi Baking Co., Inc.",311812,"Piantedosi Baking Co., Inc. is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",Anthony Roscillo — Chief Operating Officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
57,7,"Plenus Group, Inc.",unclassified food/bev mfr,,Lowell,Massachusetts,http://www.pgifoods.com,2.5364435E7,50,Private,,311412,"Plenus Group, Inc. is primarily engaged in manufacturing frozen food specialties, not elsewhere classified, such as frozen dinners and frozen pizza.",Stephen Post — Chief Financial Officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
58,7,"Premio Foods, Inc.",unclassified food/bev mfr,,Fair Lawn,New Jersey,http://www.premiofoods.com,8.6678429E7,160,Private,"Premio Foods, Inc.",311612,"Premio Foods, Inc. is primarily engaged in manufacturing sausages, cured meats, smoked meats, canned meats, frozen meats, and other prepared meats and meat specialties, from purchased carcasses and ot",Steven Cinque — Vice President,3,1,,,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
59,7,Puratos Corporation,unclassified food/bev mfr,,Pennsauken,New Jersey,http://www.puratos.us,5.1633313E8,1300,Private,Puratos,311999,"Puratos Corporation is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; pean",Annmarie Earle — Finance Vice President,3,3,,,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
60,7,"Rhino Foods, Inc.",unclassified food/bev mfr,,Burlington,Vermont,http://www.rhinofoods.com,2.8433544E7,219,Private,"Rhino Foods, Inc.",311824,"Rhino Foods, Inc. is primarily engaged in preparing flour mixes or doughs from purchased flour.",Mike Whitney — Chief Financial Officer,3,3,,,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
61,7,Rockland Bakery Inc.,unclassified food/bev mfr,,Nanuet,New York,http://www.rocklandbakery.com,4.7251175E7,450,Private,Rockland Bakery Inc.,445291,Rockland Bakery Inc. is primarily engaged in the retail sale of bakery products. The products may be purchased from others or made on the premises.,Sal Battaglia — President,3,1,,,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
