num,database,description
150,Tribal Business News,"Digital publication delivering in-depth stories, analysis and business intelligence on all aspects of Native business and economic development activities."
151,Value Investor Insight,Monthly online publication featuring interviews with investors navigating the current investment environment and where they're finding investment opportunity.
152,Value Line,"Comprehensive stock reports and covers most actively traded U.S. exchange-listed stocks, small and mid-cap stocks, mutual funds, options and convertibles."
153,Value Line Investment Survey Plus - Historical Reports,"Covers about 1,800 large-cap companies and 1,700 small and mid-cap companies. Archive coverage begins with September 7, 1997."
154,Vault,"In-depth industry guides including internship information, career advice and user-generated content on companies and career issues."
155,VitalLaw,"Visitor access to VitalLaw is temporarily unavailable. We are working with the vendor to resolve this issue as-of July 24, 2026. Encompasses business and law areas including antitrust, banking, energy, healthcare, intellectual property, labor, life sciences, securities, tax, and transportation, and more. This database is licensed for academic use only. No commercial use is allowed."
156,Wall Street Journal,Leading paper of record for business news in the United States since 1889.
157,Ward's Business Directory,"Company directory with information on over 100,000 public and private United States firms."
158,Washington Post,"Daily newspaper published in Washington, D.C., known for its independent editorial stance and thorough reporting."
159,Web of Science,"Complete bibliographic data plus citations and abstracts to journal articles across a wide range of scientific, technological, social sciences, arts, and humanities disciplines."
160,Worldscope,Monthly updated financial information for global public companies.
161,WorldTradeLaw.net,News and commentary on world trade law.
162,WRDS - Wharton Research Data Services,"Platform hosting financial, accounting, banking, economics, management, marketing, and public policy databases accessible through a single interface."
