rank,score,company_name,status,segment,city,state,website,key_person,mergent_email,mergent_phone,rationale,outreach_status
51,5,CraftMark Bakery,confirmed co-man (public sweep),snack-bakery,Indianapolis,IN,https://www.craftmarkbakery.com,Kurt Seagrist (CEO),,,verified co-man; key person known,not contacted
52,5,Creative Foodworks,confirmed co-man (public sweep),wet-frozen-supplements,San Antonio,TX,https://creativefw.com,Dede Garcia (Owner),,,verified co-man; key person known,not contacted
53,5,Crystal Creamery,confirmed co-man (public sweep),wet-frozen-supplements,Modesto,CA,https://crystalcreamery.com,Dennis Roberts (President & CEO),,,verified co-man; key person known,not contacted
54,5,Dairy State Foods,confirmed co-man (public sweep),snack-bakery,Glendale,WI,https://www.dairystatefoods.com,Lawrence Rabin (President),,,verified co-man; key person known,not contacted
55,5,Delgrosso Foods Inc.,likely co-man (D&B description),,Tipton,Pennsylvania,http://www.delgrossos.com,,,,D&B says contract/private-label; 1 Hoovers email(s) flagged; mid-market size,not contacted
56,5,Don's Prepared Foods,confirmed co-man (public sweep),wet-frozen-supplements,Schwenksville,PA,https://donspreparedfoods.com,Victor Skloff (CEO & President),,,verified co-man; key person known,not contacted
57,5,Dutch Treat Foods,confirmed co-man (public sweep),wet-frozen-supplements,Zeeland,MI,https://www.dutchtreatfoods.com,Scott Brookens (President),,,verified co-man; key person known,not contacted
58,5,Eagle Park Brewing & Distilling,confirmed co-man (public sweep),beverage,Milwaukee,WI,https://www.eagleparkbrewing.com/,Max Borgardt (Co-founder),,,verified co-man; key person known,not contacted
59,5,Econo-Pak,confirmed co-man (public sweep),snack-bakery,Milford,PA,https://www.econo-pak.com,PJ Wiebel (CEO),,,verified co-man; key person known,not contacted
60,5,El Pinto Foods (El Pinto Co-Packing),confirmed co-man (public sweep),wet-frozen-supplements,Albuquerque,NM,https://elpintocopacking.com,Jim Thomas (Co-owner),,,verified co-man; key person known,not contacted
